LUOGO,ID STAZIONE
ALBANO LAZIALE,S08704
ANAGNI-FIUGGI,S08658
ANGUILLARA,S08318
ANTRODOCO BORGO VELINO,S07408
ANTRODOCO CENTRO,S07435
ANZIO,S08709
APRILIA,S08705
ARCE,S08861
F00022,F00022
ANCONA,S07113
CHIUSI C.T.,S06925
SPELLO,S07010
S.LIBERATO,S07235
STRONCONE,S07400
MARMORE,S07401
CITTA` DELLA PIEVE,S08200
FABRO-FICULLE,S08201
CASTIGLIONE IN TEVERINA,S08205
BASSANO IN TEVERINA,S08208
TERONTOLA CORTONA,S06922
VITERBO PORTA FIORENTINA,S08304
PONTE PARRANO DI NOCERA UMBRA,S07233
SPOLETO,S07221
SULMONA,S08539
S.GIACOMO DI SPOLETO,S07220
NOCERA UMBRA,S07213
ELLERA CORCIANO,S07003
NARNI AMELIA,S07230
ORTE,S08209
ORVIETO,S08203
OSPEDALICCHIO,S07012
TORRICELLA,S07011
TREVI,S07218
TUORO SUL TRASIMENO,S07000
MAGIONE,S07002
MONTE MELINO,S07014
FOSSATO DI VICO GUBBIO,S07209
GAIFANA,S07212
CAMPELLO,S07219
PERUGIA,S07004
PERUGIA PONTE S.GIOVANNI,S07005
BASCHI-MONTECCHIO,S08204
BASTIA,S07007
PC ORVIETO,S08225
NERA MONTORO,S07229
PM PANICALE SANFATUCCHIO,S06924
PASSIGNANO SUL TRASIMENO,S07001
PC ALLERONA,S08224
GIUNCANO,S07225
GUALDO TADINO,S07211
BAIANO DI SPOLETO,S07224
SCANZANO BELFIORE,S07216
TERNI,S07226
TERNI COSPEA,S07430
FOLIGNO,S07217
CASTIGLION DEL LAGO,S06923
ASSISI,S07008
ATTIGLIANO,S08207
CANNARA,S07009
CAPODACQUA PIEVE FANONICA,S07215
ALLERONA-CASTEL VISCARDO,S08202
ALVIANO,S08206
VALTOPINA,S07214
F00022,F00022
ANCONA,S07113
CHIUSI C.T.,S06925
SPELLO,S07010
S.LIBERATO,S07235
STRONCONE,S07400
MARMORE,S07401
CITTA` DELLA PIEVE,S08200
FABRO-FICULLE,S08201
CASTIGLIONE IN TEVERINA,S08205
BASSANO IN TEVERINA,S08208
TERONTOLA CORTONA,S06922
VITERBO PORTA FIORENTINA,S08304
PONTE PARRANO DI NOCERA UMBRA,S07233
SPOLETO,S07221
SULMONA,S08539
S.GIACOMO DI SPOLETO,S07220
NOCERA UMBRA,S07213
ELLERA CORCIANO,S07003
NARNI AMELIA,S07230
ORTE,S08209
ORVIETO,S08203
OSPEDALICCHIO,S07012
TORRICELLA,S07011
TREVI,S07218
TUORO SUL TRASIMENO,S07000
MAGIONE,S07002
MONTE MELINO,S07014
FOSSATO DI VICO GUBBIO,S07209
GAIFANA,S07212
CAMPELLO,S07219
PERUGIA,S07004
PERUGIA PONTE S.GIOVANNI,S07005
BASCHI-MONTECCHIO,S08204
BASTIA,S07007
PC ORVIETO,S08225
NERA MONTORO,S07229
PM PANICALE SANFATUCCHIO,S06924
PASSIGNANO SUL TRASIMENO,S07001
PC ALLERONA,S08224
GIUNCANO,S07225
GUALDO TADINO,S07211
BAIANO DI SPOLETO,S07224
SCANZANO BELFIORE,S07216
TERNI,S07226
TERNI COSPEA,S07430
FOLIGNO,S07217
CASTIGLION DEL LAGO,S06923
ASSISI,S07008
ATTIGLIANO,S08207
CANNARA,S07009
CAPODACQUA PIEVE FANONICA,S07215
ALLERONA-CASTEL VISCARDO,S08202
ALVIANO,S08206
VALTOPINA,S07214
F00025,F00025
CASACALENDA GUARDIALFIERA,S09465
S.MARIA OLIVETO,S09059
CAPRIATI AL VOLTURNO,S09061
ROCCA D`EVANDRO,S09200
VAIRANO,S09203
BOSCO REDOLE,S09452
GUARDIAREGIA,S09456
MATRICE MONTAGANO,S09461
S.MARTINO IN PENSILIS,S09468
CHIEUTI SERRACAPRIOLA,S11021
CASTEL DI SANGRO,S08910
VASTOGIRARDI,S08913
PESCOLANCIANO-CHIAUCI,S08915
ISERNIA,S09053
MONTERODUNI,S09057
ROCCA RAVINDOLA,S09058
VINCHIATURO,S09457
CAMPOBASSO,S09459
CANTALUPO DEL SANNIO,S09451
CAMPOLIETO MONACILIONI,S09462
SESSANO DEL MOLISE,S08917
VASTO S.SALVO,S07824
VENAFRO,S09060
BARANELLO,S09458
URURI ROTELLO,S09467
BENEVENTO,S09311
MONTENERO PETACCIATO,S07825
CAMPOMARINO,S11020
RIPABOTTONI S.ELIA,S09463
S. PIETRO AVELLANA-CAPRACOTTA,S08912
GUGLIONESI PORTOCANNONE,S09469
LARINO,S09466
SEPINO,S09501
TERMOLI,S11019
BOIANO,S09453
BONEFRO S.CROCE,S09464
CAROVILLI-ROCCASICURA,S08914
CARPINONE,S09050
SESTO CAMPANO,S09062
ALFONSINE,S05808
POSTO MOVIMENTO ALSENO,S05008
ANCONA,S07113
ARGENTA,S05804
BAGNACAVALLO,S05902
BOLOGNA BORGO PANIGALE,S05100
BOLOGNA S.RUFFILLO,S05130
BOLOGNA C.LE,S05043
BORGHETTO PARMENSE,S06100
BORGO VAL DI TARO,S06161
CAORSO,S01970
CARBONA,S05120
CARPI,S02349
CASALECCHIO DI RENO,S05101
CASALMAGGIORE,S01850
CASTEL S.GIOVANNI,S01948
CASTELBOLOGNESE,S05056
CASTELFRANCO D'EMILIA,S05037
CASTELGUELFO,S05012
CASTELMAGGIORE,S05724
CASTELVETRO,S01960
CASTIONE DEI MARCHESI,S01964
CATTOLICA S.GIOVANNI GABICCE,S07102
CERVIA-MILANO MARITTIMA,S05814
BRISIGHELLA,S06614
BRONI,S01944
BUSSETO,S01963
CESENA,S05066
CESENATICO,S05815
CITERNA TARO,S06154
CLASSE,S05812
CODOGNO,S01828
COLLECCHIO,S06151
COLORNO,S01852
CONSELICE,S05950
SASSO MARCONI,S05104
SAVIGNANO SUL RUBICONE,S05068
SELVA DEL BOCCHETTO,S06155
SILLA,S05109
SOLAROLO,S05900
SOLIERA MODENESE,S02351
SOLIGNANO,S06156
STRADA CASALE,S06617
PM TAVERNELLE EMILIA,S05322
FERRARA,S05712
FIDENZA,S05009
FIORENZUOLA,S05007
FORLI`,S05059
FORLIMPOPOLI,S05065
FORNOVO,S06153
PARMA,S05014
GLORIE,S05809
GODO,S05904
GONZAGA-REGGIOLO,S02344
GRANAROLO,S05955
GRIZZANA,S05133
P.M.GRONDOLA - GUINADI,S06162
IGEA MARINA,S05818
IMOLA,S05054
LAMA DI RENO,S05121
LAVEZZOLA,S05806
LAVINO,S05041
BELLARIA,S05817
COTIGNOLA,S05956
S.PIETRO IN CASALE,S05722
SALSOMAGGIORE T.,S05090
SAMOGGIA,S05039
SARMATO,S01949
MONTICELLI D`ONGINA,S01971
MONZUNO,S05132
CADEO,S05006
PRATO CENTRALE,S06416
RAVENNA,S05811
REGGIO EMILIA,S05023
RIMINI VISERBA,S05820
RICCIONE,S07101
RIMINI,S05071
RIOLA,S05108
ROLO NOVI FABBRICO,S02346
ROTTOFRENO,S01950
RUBIERA,S05031
RUSSI,S05903
S.AGATA SUL SANTERNO,S05954
S.ARCANGELO DI ROMAGNA,S05069
SAN BENEDETTO SAMBRO-CAST.PEPOLI,S05134
PIACENZA,S05000
PISTOIA,S06414
BERCETO,S06158
MIRANDOLA,S05311
POSTO MOV. MIRANDOLA OZZANO,S05051
MISANO ADRIATICO,S07119
MODENA,S05032
MOLINO DEL PALLONE,S05112
MONTESANTO,S05801
GALLIERA,S05721
OSTIA PARMENSE,S06160
OZZANO TARO,S06152
LIDO DI CLASSE-LIDO DI SAVIO,S05813
LUGO,S05951
MARRADI,S06610
MARZABOTTO,S05105
MASSALOMBARDA,S05952
MEDESANO,S06102
MEZZANI RONDANI,S01851
MEZZANO,S05810
CREMONA,S01915
CREVALCORE,S05316
FAENZA,S05058
BARBIANO,S05905
BIAGIONI LAGACCI,S05119
OCCHIOBELLO,S05710
PIANORO,S05131
PIOPPE DI SALVARO,S05106
VARIGNANA,S05052
VICOFERTILE,S06150
VILLA CADE`,S05022
VILLANOVA D`ARDA,S01962
VOLTANA,S05807
PONTE DELLA VENTURINA,S05123
PONTECCHIO MARCONI,S05103
PONTELAGOSCURO,S05711
PONTENURE,S05005
PORRETTA  TERME,S05110
PORTOMAGGIORE,S05802
GAIBANELLA,S05800
GAMBETTOLA,S05067
S.FELICE SP,S05313
S.GIORGIO P.,S05723
S. GIULIANO PIACENTINO,S01961
S.ILARIO,S05021
POGGIO RENATICO,S05720
POGGIO RUSCO,S05308
NOCETO,S06101
VERGATO,S05107
SAN GIOVANNI IN PERSICETO,S05319
S.BIAGIO,S05805
ROCCAMURATA,S06159
S.CASSIANO,S06615
OSTERIA NUOVA,S05302
VILLANOVA DI REGGIOLO,S02345
BOLOGNA INTERPORTO,S05099
CASTELDEBOLE,S05102
OZZANO DELL'EMILIA,S05055
CASALECCHIO GARIBALDI,S05111
FUNO CENTERGROSS,S05726
RASTIGNANO,S05138
PIAN DI VENOLA,S05114
CAMPOSANTO,S05314
CASTEL S.PIETRO TERME,S05053
BOLOGNA CORTICELLA,S05725
RIMINI MIRAMARE,S07100
BOLOGNA RAVONE,S05042
POSTO MOVIMENTO BOLOGNINA,S05315
F00046,F00046
F00018,F00018
F00019,F00019
BOLOGNA C.LE/AV,S05046
REGGIO EMILIA AV,S05254
S.LAZZARO DI SAVENA,S05049
BOLOGNA FIERE,S05020
BOLOGNA MAZZINI,S05140
RIMINI TORRE PEDRERA,S05819
S.MARTINO IN GATTARA,S06613
S.NICOLO',S01951
FELEGARA - S.ANDREA BAGNI,S06103
GATTEO A MARE,S05816
MUSIANO-PIAN DI MACINA,S05139
AVIO,S02050
BOLZANO SUD ,S02226
BORGHETTO,S02051
CASTELBELLO,S02208
CASTELDARNE ,S02105
BRESSANONE,S02014
BRONZOLO ,S02030
BRUNICO ,S02107
CHIUSA ,S02017
CIARDES,S02209
COLDRANO-MARTELLO,S02206
COLLE ISARCO ,S02005
SERRAVALLE,S02048
SETTEQUERCE,S02224
SILANDRO,S02205
SPONDIGNA-PRATO VENOSTA,S02202
TERLANO-ANDRIANO,S02223
GRIGNO,S02317
LACES,S02207
LAIVES ,S02029
LASA,S02204
LAVIS,S02037
MORI,S02046
NATURNO,S02211
CALDONAZZO,S02308
CAMPO DI TRENS ,S02007
RONCEGNO BAGNI-MARTER,S02312
S.CRISTOFORO AL LAGO-ISCHIA,S02306
MONGUELFO VALLE DI CASIES,S02111
ORA,S02031
ORIS,S02203
VALDAORA - ANTERSELVA,S02110
LEVICO,S02309
MAGRE`- CORTACCIA,S02033
MALLES VENOSTA,S02200
MERANO MAIA BASSA,S02217
MEZZOCORONA,S02035
DOBBIACO ,S02113
EGNA-TERMENO ,S02032
PERGINE,S02305
VILLABASSA - BRAIES,S02112
VILLAZZANO,S02300
VILPIANO-NALLES,S02222
PONTE D`ADIGE,S02225
PONTE GARDENA,S02020
SLUDERNO-GLORENZA,S02201
STRIGNO,S02315
ALA,S02049
TEZZE DI GRIGNO,S02318
PLAUS,S02212
MARLENGO,S02214
BORGO VALSUGANA EST,S02314
CALCERANICA,S02307
VANDOIES,S02103
TRENTO S.CHIARA,S02003
RIO DI PUSTERIA,S02102
SALORNO,S02034
LANA-POSTAL ,S02219
VIPITENO,S02006
P.M.VAT,S03032
TARVISIO BOSCOVERDE,S03015
BIVIO CARGNACCO,S03036
MONTEREALE VALCELLINA,S03085
S.STEFANO UDINESE,S03124
S.GIOVANNI DI CASARSA,S03199
MEDUNO,S03082
CONFINE ITALO/SLOVENO,S03318
F00016,F00016
SAN GIORGIO DI NOGARO,S03205
STRASSOLDO,S03150
ARTEGNA,S03021
AURISINA,S03550
AVIANO,S03087
BIVIO D`AURISINA,S03313
BIVIO SAN POLO,S03039
CAPRIVA,S03301
CARNIA,S03016
CASARSA,S02830
CERVIGNANO A.G.,S03207
BUDOIA POLCENIGO,S03088
CODROIPO,S02831
SEVEGLIANO,S03151
SISTIANA,S03312
TARCENTO,S03022
FONTANAFREDDA,S02702
FORGARIA BAGNI ANDUINS,S03054
CORDOVADO SESTO,S02661
CORNINO,S03053
GEMONA DEL FRIULI,S03019
GORIZIA CENTRALE,S03304
GRIGNANO,S03315
LATISANA LIGNANO B.,S03202
BASILIANO,S02832
S.VITO AL TAGLIAMENTO,S02660
SACILE,S02703
SACILE SAN LIBERALE,S03089
SAGRADO,S03307
MOSSA,S03302
MUZZANA DEL TURGNANO,S03204
BUTTRIO,S03029
REDIPUGLIA,S03308
RISANO,S03120
RONCHI DEI LEGIONARI NORD,S03309
RONCHI DEI LEGIONARI SUD,S03212
PINZANO,S03055
MONFALCONE,S03310
OSOPPO,S03050
PALAZZOLO DELLO STELLA,S03203
PALMANOVA,S03122
TORVISCOSA,S03206
TRAVESIO,S03081
TRIESTE CENTRALE,S03317
TRIESTE CAMPO MARZIO,S03471
TRIESTE AQUILINIA,S03856
UDINE,S03026
UDINE PARCO,S03028
UGOVIZZA VALBRUNA,S03006
LUMIGNACCO,S03125
MAJANO,S03051
CUSANO,S02700
FANNA - CAVASSO,S03083
BAGNARIA ARSA,S03123
CORMONS,S03300
VENEZIA SANTA LUCIA,S02593
VENZONE,S03018
VILLA OPICINA,S03466
VILLA VICENTINA,S03209
PONTEBBA,S03010
PORDENONE,S02701
PORTOGRUARO CAORLE,S03200
MANIAGO,S03084
MANZANO,S03030
S.GIOVANNI AL NATISONE,S03031
S.MARIA LA LONGA,S03121
F00021,F00021
F00041,F00041
F00040,F00040
FABRIANO CA` MAIANO,S07059
MARINO DEL TRONTO FOLIGNANO,S07556
ALBACINA,S07207
ANCONA,S07113
ANCONA MARITTIMA,S07116
ASCOLI PICENO,S07550
CASTELRAIMONDO CAMERINO,S07302
CATTOLICA S.GIOVANNI GABICCE,S07102
SASSOFERRATO ARCEVIA,S07063
SERRA S.QUIRICO,S07205
SPINETOLI COLLI,S07552
PANTIERE DI CASTELBELLINO,S07234
PEDASO,S07510
PERGOLA,S07060
MORROVALLE MONTE S.GIUSTO,S07309
S.CLAUDIO,S07312
PESARO,S07104
PESCARA,S07810
MONTEMARCIANO,S07110
MONTEPRANDONE,S07554
MONTEROSSO MARCHE,S07062
FOSSATO DI VICO GUBBIO,S07209
OFFIDA CASTEL DI LAMA,S07551
OSIMO CASTELFIDARDO,S07502
PALOMBINA,S07112
LORETO,S07503
MACERATA,S07307
MALTIGNANO DEL TRONTO,S07555
MAROTTA MONDOLFO,S07107
MARZOCCA,S07109
MATELICA,S07301
CUPRAMARITTIMA,S07511
FABRIANO,S07208
FANO,S07105
POTENZA PICENA MONTELUPONE,S07505
VARANO,S07500
POLLENZA,S07305
PORTO D`ASCOLI,S07514
PORTO RECANATI,S07504
PORTO S. GIORGIO FERMO,S07508
GROTTAMMARE,S07512
JESI,S07202
URBISAGLIA SFORZACOSTA,S07306
FALCONARA STADIO,S07117
CERRETO D`ESI,S07300
ANCONA TORRETTE,S07015
MACERATA FONTESCODELLA,S07313
CASTELFERRETTI,S07200
BELLISIO SOLFARE,S07061
MELANO MARISCHIO,S07065
SENIGALLIA,S07108
FALCONARA MARITTIMA,S07111
CHIARAVALLE,S07201
MONTECAROTTO CASTELBELLINO,S07203
CASTELPLANIO CUPRAMONTANA,S07204
GENGA S.VITTORE TERME,S07206
S.SEVERINO MARCHE,S07303
TOLENTINO,S07304
CORRIDONIA MOGLIANO,S07308
MONTECOSARO,S07310
GAGLIOLE,S07311
CIVITANOVA MARCHE,S07506
PORTO S. ELPIDIO,S07507
S.BENEDETTO DEL TRONTO,S07513
MONSAMPOLO DEL TRONTO,S07553
S.FILIPPO,S07557
LE PIAGGE,S06516
CAMBIANO,S06804
CASTELLINA MARITTIMA,S06024
CASTELVECCHIO PASCOLI,S06302
CASTIGLIONCELLO,S06729
CERTALDO,S06803
FIRENZE STATUTO,S06430
CASTIGLION FIORENTINO,S06920
CHIUSI C.T.,S06925
CHIARONE,S08007
MONTALTO DI CASTRO,S08008
ROMA TERMINI,S08409
ASCIANO MONTE OLIVETO MAGGIORE,S06825
F00017,F00017
BINARIO S.MARCO VECCHIO,S06950
RIPAFRATTA,S06402
S.MINIATO FUCECCHIO,S06509
S. PIETRO A VICO,S06313
S.ROMANO MONTOPOLI S.CROCE,S06508
S. STEFANO DI MAGRA,S06170
SERRAVALLE PISTOIESE,S06413
RIGNANO SULL`ARNO REGGELLO,S06906
FIRENZE S.M.N.,S06421
FORTE DEI MARMI SERRAVEZZA Q.,S06011
IL CIONFO BIN. LE CURE,S06957
PONTASSIEVE,S06904
PONTE A ELSA,S06807
PONTE A MORIANO,S06312
PONTE A TRESSA,S06869
PONTE GINORI,S06752
PONTICINO,S06913
PONTREMOLI,S06163
POPOLANO,S06612
PORCARI,S06406
PORRETTA  TERME,S05110
GIUNCARICO,S06037
INCISA,S06907
INDICATORE,S06914
S.DONNINO BADIA,S06514
S.ELLERO,S06905
S.FREDIANO A SETTIMO,S06504
S.GIOVANNI VALDARNO,S06909
SANTA LUCE,S06023
POGGIBONSI,S06805
POGGIO - CAREGGINE - VAGLI,S06323
EQUI TERME,S06226
TERONTOLA CORTONA,S06922
TERRAROSSA - TRESANA,S06167
TOMBOLO,S06720
IL CIONFO BIN. SALVIATI,S06951
PIAN DEL MUGNONE,S06952
FIESOLE CALDINE,S06953
MIMMOLE,S06954
MONTORSOLI,S06601
CERCINA,S06956
FONTEBUONA,S06619
VAGLIA,S06602
CAMPOMIGLIAIO,S06659
SCOPETI,S06705
ALBINIA,S08003
ARBIA,S06811
SAN MOMME`,S05118
VERNIO MONTEPIANO CANTAGALLO,S05135
CASTAGNETO CARDUCCI,S06029
GHIVIZZANO - COREGLIA,S06306
MASSAROSA BOZZANO,S06350
S.GIULIANO TERME,S06400
TASSIGNANO,S06405
BORGO A BUGGIANO,S06410
MONTECATINI TERME,S06411
FIRENZE RIFREDI,S06420
PRATO PORTA AL SERRAGLIO,S06422
PONTEDERA CASCIANA TERME,S06506
MONTELUPO CAPRAIA,S06511
LIVORNO CENTRALE,S06725
POPULONIA,S06773
FIORENTINA DI PIOMBINO,S06774
CASTELFIORENTINO,S06802
CASTELNUOVO BERARDENGA,S06812
S.GIOVANNI D`ASSO,S06816
ROCCASTRADA,S06823
TORRITA DI SIENA,S06854
SERRE DI RAPOLANO,S06857
SIENA ZONA INDUSTRIALE,S06867
MONTERONI D`ARBIA,S06871
BUONCONVENTO,S06874
FI ROVEZZANO,S06901
AULLA LUNIGIANA,S06013
VOLTERRA SALINE - POMARANCE,S06753
CAMPIGLIA MARITTIMA,S06031
CAMPORGIANO,S06324
PIOMBINO BINARI PORTO VECCHIO,S06772
PRACCHIA,S05113
PRATIGNONE,S06423
PRATO CENTRALE,S06416
QUERCIANELLA,S06728
RAPOLANO TERME,S06850
RIGOLI,S06401
RIGOMAGNO,S06851
RIPARBELLA,S06750
RONTA,S06606
ROSIGNANO,S06730
RUFINA,S06703
SAN BENEDETTO SAMBRO-CAST.PEPOLI,S05134
PERUGIA,S07004
PIAZZA AL SERCHIO,S06325
PIETRASANTA,S06012
PIOMBINO,S06770
PIOMBINO BINARI MARE,S06775
PISA BINARI AEROPORTO,S06450
PISA CENTRALE,S06500
PISA SAN ROSSORE,S06501
PISTOIA,S06414
MONTALE AGLIANA,S06415
MONTALLESE,S06856
MONTE ANTICO,S06820
MONTECARLO SAN SALVATORE,S06408
MONTECATINI CENTRO,S06412
MONTEPESCALI,S06038
MONTEPULCIANO,S06855
FOSCIANDORA - CESERANA,S06301
NOZZANO,S06351
ORBETELLO,S08004
ORCIANO,S06022
PALLERONE,S06220
TORRE DEL LAGO PUCCINI,S06015
TORRENIERI,S06817
VADA,S06025
VAIANO,S05136
VALDIBRANA,S05117
CONTEA LONDA,S06702
LUCCA,S06404
MARRADI,S06610
MASSA CENTRO,S06009
MINUCCIANO - PIEVE - CASOLA,S06227
PRATO BORGONUOVO,S06426
DICOMANO,S06701
DIECIMO - PESCAGLIA,S06310
EMPOLI,S06510
FAENZA,S05058
BARGA GALLICANO,S06303
NAVACCHIO,S06502
PESCIA,S06409
PITECCIO,S05116
VIAREGGIO,S06040
VICARELLO,S06017
VICCHIO,S06700
VIGNALE RIOTORTO,S06032
VILLAFRANCA - BAGNONE,S06166
VILLETTA S. ROMANO,S06322
ZAMBRA,S06425
S.PIERO A SIEVE,S06603
FAUGLIA - LORENZANA,S06021
ALBERESE,S08001
ALTOPASCIO,S06407
ANTIGNANO,S06727
AREZZO,S06915
ASCIANO,S06813
AULLA,S06168
BIVIO MORTELLINI,S06056
P.M. BADESSE,S06826
BIFORCO,S06611
BOLGHERI,S06028
BORGO A MOZZANO,S06309
BORGO S. LORENZO,S06604
BORGO S.L.RIMORELLI,S06704
CAMUCIA CORTONA,S06921
CAPALBIO,S08006
CARRARA AVENZA,S06005
CASCINA,S06505
CASINO DI TERRA,S06751
CASTAGNO,S05122
CASTELLINA CH,S06808
CASTELNUOVO DI GARFAGNANA,S06300
CASTIGLION DEL LAGO,S06923
CECINA,S06026
BUCINE,S06911
CIVITELLA PAGANICO,S06822
COLLE VAL D`ELSA,S06840
COLLESALVETTI,S06018
COMPIOBBI,S06902
SARZANA,S06007
SCARLINO,S06035
SCORCETOLI,S06164
SESTO FIORENTINO,S06418
SIECI,S06903
SIENA,S06809
SIGNA,S06513
SINALUNGA,S06852
STICCIANO,S06824
TALAMONE,S08002
FIRENZE CAMPO MARTE,S06900
FIRENZE CASCINE,S06515
FIRENZE CASTELLO,S06419
FIGLINE VALDARNO,S06908
FILATTIERA,S06165
FIVIZZANO - GASSANO,S06223
FIVIZZANO ROMETTA - SOLIERA,S06222
FOLLONICA,S06033
FORNACI DI BARGA,S06304
PANICAGLIA,S06605
PARMA,S05014
CORBEZZI,S05115
GAVORRANO,S06036
GRAGNOLA,S06224
GRANAIOLO,S06801
GROSSETO,S06039
IL NETO,S06424
LATERINA,S06912
BAGNI DI LUCCA,S06308
S. VINCENZO,S06030
MONTEVARCHI TERRANUOVA,S06910
DOPPIO BIVIO MONTUOLO,S06403
MONZONE-M.DEI BANCHI-ISOLANO,S06225
MURLO,S06876
CALENZANO,S06417
CAMAIORE LIDO CAPEZZANO,S06043
MASCALI,S12323
GUARDIA MANGANO SANTA VENERINA,S12327
CATANIA CENTRALE,S12332
CATANIA ACQUICELLA,S12337
AGNONE DI S.,S12342
BRUCOLI,S12344
MOTTA CAMASTRA,S12360
CALTANISSETTA XIRBI,S12380
DIRILLO,S12408
VITTORIA,S12410
DONNAFUGATA,S12412
MODICA,S12417
S.TERESA LONGARINI,S12428
GELA-ANIC,S12430
CARINI TORRE CIACHEA,S12799
CATENANUOVA,S12244
ORSA,S12121
CEFALU`,S12019
F00051,F00051
F00052,F00052
F00036,F00036
F00037,F00037
F00038,F00038
F00039,F00039
MILI MARINA,S12003
PONTE S.STEFANO,S12005
VILLABATE,S12006
PRIOLO SOPRANO,S12393
RAGUSA IBLA,S12416
SERRADIFALCO,S12383
POZZALLO,S12420
SCIARA A.,S12201
SIRACUSA,S12349
SPARAGOGNA,S12243
LICATA,S12400
CASTELLUCCIO SICULO,S12354
SAN MARTINO PIANA,S12252
TOMMASO NATALE,S12131
PIRAINETO,S12125
GOLE DI ALCANTARA,S12366
PUNTA RAISI,S12133
LEONFORTE-PIRATO,S12239
S.FLAVIA,S12009
ACQUEDOLCI-S.FRATELLO,S12026
SAN GIORGIO,S12034
OLIVERI TINDARI,S12037
PALERMO BRANCACCIO,S12055
S.NICOLA DI MAZARA,S12111
CASTELVETRANO,S12113
GALLITELLO,S12115
CINISI TERRASINI,S12126
CARDILLO ZEN,S12140
ROCCAPALUMBA-ALIA,S12204
MIMIANI-S.CATALDO,S12235
MOTTA SANTA ANASTASIA,S12250
MILITELLO,S12276
TARGIA,S12353
GRANITI,S12359
MOJO-ALCANTARA MALVAGNA,S12363
RACALMUTO,S12373
FAVAROTTA,S12386
RAGUSA,S12414
S.PAOLO,S12423
CAMPOBELLO RAVANUSA,S12385
PALERMO SAMPOLO,S12004
FEDERICO,S12136
PALERMO MARITTIMA,S12000
CALTANISSETTA CENTRALE,S12381
CASTRONOVO DI SICILIA,S12206
ALTAVILLA M.,S12011
FIUMETORTO,S12015
POLLINA,S12021
SANTO STEFANO DI CAMASTRA,S12024
S.AGATA M.,S12027
BROLO FICARRA,S12031
NOVARA MONTALBANO FURNARI,S12039
BARCELLONA,S12041
MILAZZO,S12042
VILLAFRANCA TIRRENA,S12050
MOZIA-BIRGI,S12105
TERRENOVE,S12108
MAZARA DEL VALLO,S12110
SALEMI GIBELLINA,S12114
CASTELLAMMARE DEL GOLFO,S12120
PALAZZO REALE-ORLEANS,S12130
SEGESTA TEMPIO,S12152
FULGATORE,S12155
CAMPOFRANCO,S12211
COMITINI,S12212
AGRIGENTO BASSA,S12213
VALLEDOLMO,S12231
DITTAINO,S12240
GRAMMICHELE,S12272
MINEO,S12275
PALAGONIA,S12279
MESSINA CENTRALE,S12301
GIAMPILIERI,S12308
SCALETTA ZANCLEA,S12309
ROCCALUMERA MANDANICI,S12312
SANTA TERESA DI RIVA,S12314
CAMPOBELLO DI MAZARA,S12112
CAMPOFELICE,S12017
PRIOLO MELILLI,S12347
RADDUSA AGIRA,S12241
RANDAZZO,S12365
ROMETTA MESSINESE,S12049
ROSOLINI,S12422
S.ALESSIO SICULO FORZA D`AGRO`,S12315
S.CATALDO,S12382
PETROSINO STRASATTI,S12109
BICOCCA,S12338
MONTEMAGGIORE,S12203
FRANCAVILLA,S12361
FRANCIA,S12139
FURCI,S12313
GAGGI,S12358
GALATI,S12305
NISCEMI,S12392
NIZZA DI SICILIA,S12311
NOTO,S12424
PALERMO NOTARBARTOLO,S12134
PACE DEL MELA,S12045
PACECO,S12103
PACHINO,S12445
PALERMO CENTRALE,S12002
TORRE DEL LAURO,S12053
TRABIA,S12013
TRAPANI,S12100
TRAPPETO,S12123
TREMESTIERI,S12303
TUSA,S12022
VALLELUNGA,S12232
CONTESSE,S12355
LETOJANNI,S12316
LIBERTINIA,S12242
MARAUSA,S12104
MARCATOBIANCO,S12230
MARIANOPOLI,S12234
MARSALA,S12107
MARZAMEMI,S12444
MEGARA G.,S12346
MESSINA MARITTIMA,S12300
MILO,S12157
DELIA,S12384
ENNA,S12238
FALCONARA,S12405
FALCONE,S12038
PIANA DEL SIGNORE,S12394
VENETICO,S12047
VESPRI,S12135
VILLALBA,S12233
VILLAROSA,S12237
VITUSO,S12391
VIZZINI,S12273
ZAPPULLA,S12029
PORTIERE STELLA,S12248
PORTO EMPEDOCLE,S12214
SPADAFORA,S12048
TAORMINA,S12317
GERBINI,S12247
ISOLA DELLE FEMMINE,S12129
S.FILIPPO-S.LUCIA,S12044
S.LORENZO COLLI,S12132
SAN MARCO D`ALUNZIO T.,S12028
ACATE,S12409
ACIREALE,S12328
ACQUAVIVA,S12209
AGRIGENTO CENTRALE,S12216
ALCAMO,S12116
ALCAMO DIRAMAZIONE,S12150
ALCANTARA,S12320
ALI` TERME,S12310
ARAGONA CALDARE,S12370
AUGUSTA,S12345
AVOLA,S12426
BAGHERIA,S12008
CANICATTI`,S12375
CANNIZZARO,S12330
CAPACI,S12128
CAPO D`ORLANDO-NASO,S12030
CARINI,S12127
CARONIA,S12025
CARRUBA,S12326
CASSIBILE,S12427
CASTELBUONO,S12020
CASTELDACCIA,S12010
CASTIGLIONE DI SICILIA,S12362
CASTROFILIPPO,S12374
CATANIA OGNINA,S12331
CERDA,S12200
BRUCA,S12153
BUONFORNELLO,S12016
BUTERA,S12406
COMISO,S12411
COMITINI ZOLFARE,S12371
SCICLI,S12418
SCORDIA,S12278
SFERRO,S12246
SIRACUSA M.,S12351
SPAGNUOLA,S12106
TERME VIGLIATORE,S12040
TERMINI IMERESE,S12014
FIERA,S12137
FILDIDONNA,S12277
